alpha,alpha3,average_cost,batch_size,critic1 error,critic2 error,entropy,eplenmean,eplrewmean,eprewmean,lr_a,lr_c,lr_l,lyapunov error,lyapunov_lambda,policy_loss,target_entropy,tau,total_timesteps
0.91673136,0.5,5.898476119874481,256,92.045975,92.28521,0.4112447,34.1,0.0,201.1380356877198,9.98004e-05,0.0002994012,0.0002994012,89.1246,1.0,45.647472,-1,0.005,2048
0.83018064,,7.535732552024482,,159.909,158.17485,-0.21979037,10.2,0.0,76.86447203064971,9.95908e-05,0.00029877239999999997,0.00029877239999999997,79.578,1.0,66.72469,,,4096
0.79213953,,6.893174191432775,,44.65468,45.101475,-0.58870685,9.4,0.0,64.79583739946808,9.93859e-05,0.0002981577,0.0002981577,81.344635,1.0,54.259247,,,6144
0.74568665,,7.1384797909557784,,37.065807,41.455833,-0.8638398,9.2,0.0,65.67401407679316,9.91814e-05,0.00029754419999999997,0.00029754419999999997,91.298485,1.0,41.784065,,,8192
0.7009528,,1.613712993770659,,34.178932,33.39835,-0.25492826,96.0,0.0,154.91644740198325,9.89972e-05,0.00029699159999999996,0.00029699159999999996,92.15089,1.0,40.23812,,,10240
0.6354638,,0.31230237479272127,,30.417395,29.52713,-0.4224822,164.5,0.0,51.37374065340265,9.877610000000001e-05,0.0002963283,0.0002963283,82.47186,1.0,40.315197,,,12288
0.581662,,0.16778075984973098,,31.933277,31.347229,-0.41108075,213.6,0.0,35.83797030390254,9.85747e-05,0.0002957241,0.0002957241,71.47429,1.0,38.668434,,,14336
0.53312093,,0.15209976158695782,,25.257338,25.040554,-0.39544526,226.4,0.0,34.43538602328725,9.837470000000001e-05,0.0002951241,0.0002951241,64.33235,1.0,35.713917,,,16384
0.4794592,,0.20522518484909563,,10.062899,10.078924,-0.39404643,227.3,0.0,46.64768451619944,9.817240000000001e-05,0.0002945172,0.0002945172,54.256096,1.0,33.07821,,,18432
0.43276247,,0.1410973095090007,,10.326816,10.587099,-0.38855502,226.1,0.0,31.90210167998506,9.797130000000001e-05,0.0002939139,0.0002939139,49.50001,1.0,32.383965,,,20480
0.38814494,,0.21188231586775685,,8.764176,9.047354,-0.3525172,179.3,0.0,37.990499235088805,9.776700000000001e-05,0.000293301,0.000293301,51.80134,1.0,31.233196,,,22528
